gir1.2-gnomedesktop-4.0:amd64	44.5-1ubuntu1	amd64
gir1.2-gnomeqr-4.0:amd64	44.5-1ubuntu1	amd64
gir1.2-graphene-1.0:amd64	1.10.8-5build1	amd64
gir1.2-gst-plugins-base-1.0:amd64	1.28.2-1	amd64
gir1.2-gst-plugins-extra-1.0:amd64	1.28.2-1ubuntu1	amd64
gir1.2-gstreamer-1.0:amd64	1.28.2-1	amd64
gir1.2-gtk-3.0:amd64	3.24.52-0ubuntu1	amd64
gir1.2-gtk-4.0:amd64	4.22.2+ds-1ubuntu1	amd64
gir1.2-gudev-1.0:amd64	1:238-7build1	amd64
gir1.2-gweather-4.0:amd64	4.4.4-4	amd64
gir1.2-handy-1:amd64	1.8.3-3build1	amd64
gir1.2-harfbuzz-0.0:amd64	12.3.2-2	amd64
gir1.2-ibus-1.0:amd64	1.5.34~rc2-1	amd64
gir1.2-javascriptcoregtk-4.1:amd64	2.52.0-1	amd64
gir1.2-mutter-18:amd64	50.1-0ubuntu2	amd64
gir1.2-nm-1.0:amd64	1.54.3-2ubuntu3	amd64
gir1.2-nma4-1.0:amd64	1.10.6-7	amd64
gir1.2-notify-0.7:amd64	0.8.8-1	amd64
gir1.2-packagekitglib-1.0	1.3.4-3	amd64
gir1.2-pango-1.0:amd64	1.57.0-1	amd64
gir1.2-peas-1.0:amd64	1.38.1-4ubuntu1	amd64
gir1.2-polkit-1.0:amd64	127-2ubuntu1	amd64
gir1.2-rb-3.0:amd64	3.4.9-3ubuntu3	amd64
gir1.2-rsvg-2.0:amd64	2.61.3+dfsg-3	amd64
gir1.2-secret-1:amd64	0.21.7-2build1	amd64
gir1.2-snapd-2:amd64	1.72-0ubuntu3	amd64
gir1.2-soup-3.0:amd64	3.6.6-1	amd64
gir1.2-udisks-2.0:amd64	2.10.91-1ubuntu2	amd64
gir1.2-unity-7.0:amd64	7.1.4+19.04.20190319-6.1ubuntu1	amd64
gir1.2-upowerglib-1.0:amd64	1.91.1-1	amd64
gir1.2-vte-2.91:amd64	0.84.0-2	amd64
gir1.2-webkit2-4.1:amd64	2.52.0-1	amd64
gir1.2-wnck-3.0:amd64	43.3-1build1	amd64
gjs	1.88.0-1	amd64
glib-networking-common	2.80.1-1build2	amd64
glib-networking-services	2.80.1-1build2	amd64
glib-networking:amd64	2.80.1-1build2	amd64
glycin-loaders	2.1.1+ds-0ubuntu1	amd64
glycin-thumbnailers	2.1.1+ds-0ubuntu1	amd64
gnome-accessibility-themes	3.28-5	amd64
gnome-bluetooth-3-common	47.1-5	amd64
gnome-bluetooth-sendto	47.1-5	amd64
gnome-calculator	1:50.0-1ubuntu1	amd64
gnome-calendar	50.0-1	amd64
gnome-characters	50.0-1	amd64
gnome-clocks	50.0-1	amd64
gnome-control-center	1:50.0-0ubuntu6	amd64
gnome-control-center-data	1:50.0-0ubuntu6	amd64
gnome-control-center-faces	1:50.0-0ubuntu6	amd64
gnome-desktop3-data	44.5-1ubuntu1	amd64
gnome-disk-utility	46.1-2ubuntu2	amd64
gnome-font-viewer	49.0-1	amd64
gnome-initial-setup	50.0-0ubuntu7	amd64
gnome-keyring	50.0-1	amd64
gnome-keyring-pkcs11:amd64	50.0-1	amd64
gnome-logs	49.0-1	amd64
gnome-menus	3.38.1-1ubuntu1	amd64
gnome-online-accounts	3.58.0-1	amd64
gnome-remote-desktop	50.0-0ubuntu2	amd64
gnome-session-bin	50.0-0ubuntu3	amd64
gnome-session-canberra	0.30-18ubuntu3	amd64
gnome-session-common	50.0-0ubuntu3	amd64
gnome-settings-daemon	50.0-1ubuntu1	amd64
gnome-settings-daemon-common	50.0-1ubuntu1	amd64
gnome-shell	50.1-0ubuntu1	amd64
gnome-shell-common	50.1-0ubuntu1	amd64
gnome-shell-ubuntu-extensions	50.26.04.7ubuntu	amd64
gnome-snapshot	50.0-0ubuntu1	amd64
gnome-text-editor	50.0-1	amd64
gnome-themes-extra-data	3.28-5	amd64
gnome-themes-extra:amd64	3.28-5	amd64
gnome-user-docs	50.0-0ubuntu1	amd64
gnome-user-docs-de	50.0-0ubuntu1	amd64
gnome-user-docs-es	50.0-0ubuntu1	amd64
gnome-user-docs-fr	50.0-0ubuntu1	amd64
gnome-user-docs-it	50.0-0ubuntu1	amd64
gnome-user-docs-pt	50.0-0ubuntu1	amd64
gnome-user-docs-ru	50.0-0ubuntu1	amd64
gnome-user-docs-zh-hans	50.0-0ubuntu1	amd64
gnu-coreutils	9.7-3ubuntu2	amd64
gnupg	2.4.8-4ubuntu3	amd64
